Id,rating,title,text,Id.1
98,5.0,top notch earplugs for swim/ shower!!,"These are pool/shower quality ear plugs! I have bad swimmers ear, even in the shower 🚿, these come with the coolest metal keychain worthy container and a great lite neckstrap to hook up your earplugs , place the plugs in your ears and shower or swim 🏊‍♂️.. then just hang them up to dry out!",98
174,4.0,👍,👍,174
366,4.0,Pretty Patterns but the Edges Aren’t Perfectly Smooth on This One,"I do love the color variations present throughout this carved piece of natural jade, but it does have an uneven notch/blemish present along the longest edge that obviously resulted from a tool mark mistakenly made during the grinding process. This scraper does have an unshiny, matte finish (it is not super glossy like some other gua sha tools I’ve used), so it might be more preferred by those searching for a natural looking accessory, and it seems comfortably sized and shaped overall.<br /><br />It does come with an attractive drawstring storage bag with a leafy botanical design, so that is a nice bonus, I just wish every edge of this scraper had been smoothly shaped and polished. But that’s the only critique I have for this one. It’s great for increasing circulation and lymphatic drainage and for increasing the absorption of various face serums! I’d gladly recommend this jade tool to others. 🌿",366
369,5.0,Sip Sip Hooray! 🍷🌿,"The antioxidant-rich solution contained in these squeeze pouches is packaged and produced in Canada. The directions say it should be stored in a dry, dark place at room temperature, and the flavor tastes like tart grape juice. 🍇 The ingredients do list the presence of a couple of preservative compounds, but I like that there are no artificial flavors or added sugars, and the box comes stamped with a clearly marked expiration date.<br /><br />There are only 10 calories present per serving, but the recommended usage schedule advises consumers to take one sachet twice daily. At $20 per box, it would cost customers $120 a month to consume this resveratrol supplement regularly (because 10 pouches would disappear every 5 days). Since the overall price and perceived value of any item is subjective, the purchase likelihood will vary from person to person, but the potential payoff is exponentially beneficial.<br /><br />If this super fruit solution can combat free radical damage enough to slow or reverse aging, then I’m in! Since it does also contain goji, blueberry, pomegranate, cranberry, açaí, and green tea extracts, I at least feel like I’m consuming a myriad of healthy juices in the process! I’m pleased with the brand and the easy-to-open packaging overall, but I’d probably rather have a single container of the liquid substance rather than multiple single-use pouches. I try to support ♻️ reducing waste however I can, but that’s my only critique of this one!",369
590,5.0,Thick & No Fuzz 😊,"These wipes are nice & thick, they smell good also. An the price is good. I'm going to buy more because I always use wipes. An these are close to Cottonelle & Huggies  wipes. What I really like is that no white fuzz comes off the wipe. Buy these Wipes😊",590
736,4.0,I enjoy using them when I can,I enjoy using them when I can. They leave white marks...but once it gets the job done I’m happy to wash the marks away 😁,736
774,5.0,Better for the environment,"These bamboo toothbrushes are nice for the price. This multipack includes both adults and children’s sizes in different color bristles.<br /><br />There is nothing extraordinary about these, however the price is good and they are 💯 biodegradable which is better for the environment.<br /><br />They work just as a toothbrush should. The firmness of the bristles feel medium, not too soft.. yet not too hard.",774
1179,5.0,My Favorite Scent,"Truly speaking; this is my favorite scent of all.  Thank you Glade, this scent is amazingly refreshing in my flat.  Highly recommend 👌 😊",1179
1219,5.0,Relieves congestion without the nasty side effects of OTC drugs,"I prefer the Nasopure System Kit for sinus irrigation because I can control the flow and the nozzle tip forms a better seal with my nostril than traditional ceramic Neti Pots. The buffered salt solution is less likely to cause any irritation and it's pre-measured. Easy peasy, just mix and apply a light squeazy.<br /><br />The Neti pot has been around for hundreds of years, and when used properly it is the safest and most effective remedy to clear my stuffy sinuses and help relieve postnasal drip. I cannot use the over the counter sinus meds because some make me drowsy and others give me palpitations.<br /><br />PLEASE READ:<br /><br />1. The most important RULE to remember, and this is not optional, is to NEVER USE TAP WATER UNDER ANY CIRCUMSTANCES. IF you MUST use tap water let it boil for just over a minute or san and allow it to cool to room temperature before using.  Distilled sterile water is recommended and you can buy it in the grocery store.<br /><br />2. If you are unfamiliar with the proper technique for using a Neti Pot there are many instructional videos on YouTube. This should be a safe and relatively comfortable experience.<br /><br />3. Clean the NetiPot after every use. and let air dry.<br /><br />Please follow ollow the instructions and read recommendations on the FDA's website to ensure safe use and you're good to go.<br /><br />** If you found this review to be helpful at all, please take a moment and click the button below to let Amazon know. Thank you so much 😊 **",1219
1220,5.0,Clean accurate cut,"The pharmacy recently changed my mom's prescription from an easy to break caplet to a rock hard tablet, and we have tested no less than five pill splitters to cut her meds into a precise dosage. I kid you not, this is the very first time I have successfully split an aspirin sized pill into an exact half. I think the problem with many pill cutters is the plastic blade guard. This one does not have one, so the cut is clean. No more crumbs and two-third cuts. I highly recommend it.<br /><br />** If you found this review to be helpful at all, please take a moment and click the button below to let Amazon know. Thank you so much 😊 **",1220
